title,releaseYear,totalGross,inflationAdjustedGross
101 Dalmatians,1961,153000000,1362870985
101 Dalmatians,1996,136189294,258728898
102 Dalmatians,2000,66941559,104055039
1492: Conquest of Paradise,1992,7099531,14421454
"20,000 Leagues Under the Sea",1954,28200000,528279994
25th Hour,2002,13084595,18325463
3 Men and a Baby,1987,167780960,353334607
3 Men and a Little Lady,1990,71609321,143108869
3 Ninjas,1992,29028000,58965304
3 Ninjas Kick Back,1994,11744960,24267154
A Beautiful Planet,2016,7895708,7895708
A Bug's Life,1998,162798565,288981698
A Civil Action,1998,56709981,94139530
A Far Off Place,1993,12890752,26248558
A Goofy Movie,1995,35336439,68479579
A Gun in Betty Lou's Handbag,1992,3591460,7295423
A Kid in King Arthur's Court,1995,13406717,25981285
A Lot Like Love,2005,21835784,28716947
A Low Down Dirty Shame,1994,29317886,60321919
A Pyromaniac's Love Story,1995,468240,907414
A Simple Twist of Fate,1994,3404935,7035189
A Stranger Among Us,1992,12282994,24950752
A Thousand Acres,1997,7928412,14561324
Adventures in Babysitting,1987,33790923,72853569
African Cats,2011,15428747,16401551
Air Bud,1997,24646936,45266588
Aladdin,1992,217350219,441969178
"Alexander and the Terrible, Horrible,…",2014,66954149,69055550
Alice Through the Looking Glass,2016,77042381,77042381
Alice in Wonderland,2010,334191110,357063499
Aliens of the Deep,2005,8968684,11740942
Alive,1993,36299670,73914543
America's Heart and Soul,2004,314000,426246
Amy,1981,0,0
An Alan Smithee Film: Burn Hollywood …,1998,45779,82277
An American Werewolf in Paris,1997,26570463,48546161
An Innocent Man,1989,19397847,40983414
Angels in the Outfield,1994,50236831,103798152
Angie,1994,9252349,19116981
Annapolis,2006,17127992,22044113
Another Stakeout,1993,20107504,40943541
Ant-Man,2015,180202163,180202163
Apocalypto,2006,50866635,64959548
Arachnophobia,1990,53208180,106290270
Armageddon,1998,201578182,362324957
Around the World in 80 Days,2004,24004159,32585356
Aspen Extreme,1993,7843388,15970955
Atlantis: The Lost Empire,2001,84052762,125188122
Avengers: Age of Ultron,2015,459005868,459005868
Babes in Toyland,1961,10218316,124841160
Baby: Secret of the Lost Legend,1985,14276095,33900697
Bad Company,1995,3523909,6829092
Bad Company,2002,30157016,43756218
Beaches,1988,57041866,120381757
Bears,2014,17780194,18346024
Beauty and the Beast,1991,218951625,363017667
Beauty and the Beast (IMAX),2002,25487028,36980311
Bedknobs and Broomsticks,1971,17871174,91305448
Bedtime Stories,2008,110101975,128039679
Before and After,1996,8642118,16482589
Beloved,1998,22852487,41062682
Benji the Hunted,1987,15212539,32798382
Betsy's Wedding,1990,19740070,39433357
Beverly Hills Chihuahua,2008,94514402,110932022
Bicentennial Man,1999,58220776,94838225
Big Business,1988,40150487,82352451
Big Hero 6,2014,222527828,229249222
Big Trouble,2002,7262288,10537188
Billy Bathgate,1991,15565363,31167691
Blackbeard's Ghost,1968,21540050,138612686
Blame it on the Bellboy,1992,2891055,5872667
Blank Check,1994,30573770,63170804
Blaze,1989,19049727,39884640
Bolt,2008,114053759,133702498
Bon Voyage!,1962,9230769,109581646
Born Yesterday,1993,17760754,36165012
Bound by Honor,1993,4496583,9156084
Boys,1996,21930418,41826566
Brave,2012,237282182,251292441
