title,releaseYear,genre,rating
Snow White and the Seven Dwarfs,1937,Musical,G
Pinocchio,1940,Adventure,G
Fantasia,1940,Musical,G
Song of the South,1946,Adventure,G
Cinderella,1950,Drama,G
"20,000 Leagues Under the Sea",1954,Adventure,
Lady and the Tramp,1955,Drama,G
Sleeping Beauty,1959,Drama,
101 Dalmatians,1961,Comedy,G
The Absent Minded Professor,1961,Comedy,
Babes in Toyland,1961,Musical,G
Bon Voyage!,1962,Comedy,Not Rated
The Sword in the Stone,1963,Adventure,
The Jungle Book,1967,Musical,Not Rated
Blackbeard's Ghost,1968,Comedy,
The Aristocats,1970,Musical,G
The Boatniks,1970,Comedy,
Bedknobs and Broomsticks,1971,Musical,
The Apple Dumpling Gang,1975,Comedy,
Freaky Friday,1977,Comedy,
The Many Adventures of Winnie the Pooh,1977,,
The Rescuers,1977,Adventure,
Herbie Goes to Monte Carlo,1977,,
The Black Hole,1979,,
Midnight Madness,1980,,
The Last Flight of Noah’s Ark,1980,,
The Devil and Max Devlin,1981,,
Amy,1981,Drama,
The Fox and the Hound,1981,Comedy,
Condorman,1981,Action,
Night Crossing,1982,Drama,
Tron,1982,Action,
Tex,1982,Drama,
Trenchcoat,1983,Comedy,
Something Wicked This Way Comes,1983,Horror,
Never Cry Wolf,1983,Drama,
Running Brave,1983,Drama,
Splash,1984,Comedy,PG
Country,1984,Drama,
Baby: Secret of the Lost Legend,1985,Adventure,
Return to Oz,1985,Adventure,
The Black Cauldron,1985,Adventure,
My Science Project,1985,Comedy,
The Journey of Natty Gann,1985,Drama,
One Magic Christmas,1985,Drama,
Down and Out in Beverly Hills,1986,Comedy,R
Off Beat,1986,Comedy,
Ruthless People,1986,Comedy,R
The Great Mouse Detective,1986,Adventure,
Flight of the Navigator,1986,Adventure,
Tough Guys,1986,Comedy,
The Color of Money,1986,Drama,R
Outrageous Fortune,1987,Comedy,R
Tin Men,1987,Comedy,
Ernest Goes to Camp,1987,Comedy,
Benji the Hunted,1987,Adventure,
Adventures in Babysitting,1987,Comedy,
Stakeout,1987,Comedy,R
Can't Buy Me Love,1987,Romantic Comedy,
Hello Again,1987,Comedy,
3 Men and a Baby,1987,Comedy,PG
Good Morning Vietnam,1987,Comedy,R
Shoot to Kill,1988,Action,
D.O.A.,1988,Thriller/Suspense,
Return to Snowy River,1988,Adventure,PG
Big Business,1988,Comedy,PG
Who Framed Roger Rabbit?,1988,Comedy,PG
Cocktail,1988,Drama,R
The Rescue,1988,Action,
Heartbreak Hotel,1988,Comedy,
The Good Mother,1988,Drama,
Ernest Saves Christmas,1988,Comedy,PG
Oliver & Company,1988,Adventure,G
Beaches,1988,Drama,PG-13
Three Fugitives,1989,Comedy,PG-13
New York Stories,1989,Drama,PG
Disorganized Crime,1989,Comedy,
Dead Poets Society,1989,Drama,PG
