voiceActor,movie,character
Joan Cusack,Chicken Little,Abby Mallard
Monica Evans,The Aristocats,Abigail Gabble
Jason Alexander,The Return of Jafar,Abis Mal
Frank Welker,Aladdin,Abu
Sherry Lynn,The Little Mermaid,Adella
Greg Germann,Bolt,The Agent
Kevin McDonald,Lilo & Stitch,Agent Wendy Pleakley
John Abbott,The Jungle Book,Akela
Thurl Ravenscroft,Lady and the Tramp,Al the Alligator
D. B. Sweeney,Dinosaur,Aladar
Scott Weinger,Aladdin,Aladdin
Randy Quaid,Home on the Range,Alameda Slim
Roger Miller,Robin Hood,Alan-a-Dale
Kimmy Robertson,The Little Mermaid,Alana
Barbara Barrie,Hercules,Alcmene
Kathryn Beaumont,Alice in Wonderland,Alice
Heather Angel,Alice in Wonderland,Alice's Sister
Carole Shelley,The Aristocats,Amelia Gabble
Jack Albertson,The Fox and the Hound,Amos Slade
Hal Holbrook,Hercules,Amphitryon
Lucille Bliss,Cinderella,Anastasia Tremaine
Andrea Martin,Brother Bear 2,Anda
Tara Strong,The Little Mermaid,Andrina
Alyssa Milano,Lady and the Tramp II: Scamp's Adventure,Angel
Bernadette Peters,Beauty and the Beast: The Enchanted Christmas,Angelique
Campbell Grant,The Adventures of Ichabod and Mr. Toad,Angus MacBadger
Lisa Davis,101 Dalmatians,Anita Radcliffe
Kristen Bell,Frozen,Anna
Debi Derryberry,Lady and the Tramp II: Scamp's Adventure,Annette
Keith David,Hercules,Apollo
Grey DeLisle,The Little Mermaid,Aquata
Pinto Colvig,The Three Caballeros,Aracuan Bird
David Ogden Stiers,The Hunchback of Notre Dame,The Archdeacon
Nigel Hawthorne,Tarzan,Archimedes Q. Porter
Junius Matthews,The Sword in the Stone,Archimedes
Jodi Benson,The Little Mermaid,Ariel
Kimmy Robertson,The Little Mermaid,Arista
Jo Anne Worley,Beauty and the Beast,Armoire
Rickie Sorensen,The Sword in the Stone,Arthur/Wart
Richard Reitherman,The Sword in the Stone,Arthur/Wart
Robert Reitherman,The Sword in the Stone,Arthur/Wart
David Lander,Jungle Cubs,Arthur
Jenny Slate,Zootopia,Assistant Mayor Dawn Bellwether
Jeff Bennett,Brother Bear 2,Atka
Paddi Edwards,Hercules,Atropos
Kari Wahlgren,The Little Mermaid,Attina
Estelle Harris,Home on the Range,Audrey the Chicken
Jacqueline Obradors,Atlantis: The Lost Empire,Audrey Ramirez
Verna Felton,Lady and the Tramp,Aunt Sarah
Wendie Malick,Brother Bear 2,Aunt Siqiniq
Kathy Najimy,Brother Bear 2,Aunt Taqqiq
Mary Costa,Sleeping Beauty,Aurora
Jeff Bennett,Beauty and the Beast: The Enchanted Christmas,Axe
Martin Short,Treasure Planet,B.E.N.
Mary Kay Bergman,Beauty and the Beast,Babette
Terry McGovern,DuckTales,Babyface Beagle
Tress MacNeille,Mickey Mouse Clubhouse,Baby Red Bird
April Winchell,Who Framed Roger Rabbit,Baby Herman
Lou Hirsch,Who Framed Roger Rabbit,Baby Herman
Danny Mann,DuckTales,Backwoods Beagle
Frank Welker,DuckTales,Baggy Beagle
Sebastian Cabot,The Jungle Book,Bagheera
Tim Gunn,Sofia the First,Baileywick
Alex Murphey,Beauty and the Beast,Baker
Rob Paulsen,Cinderella II: Dreams Come True,Baker
Phil Harris,The Jungle Book,Baloo Bear
Donnie Dunagan,Bambi,Bambi
Hardie Albright,Bambi,Bambi
Alexander Gould,Bambi,Bambi
Paula Winslowe,Bambi,Bambi's Mother
Cheech Marin,The Lion King,Banzai
Peter Cullen,DuckTales,Bankjob Beagle
Barrie Ingham,The Great Mouse Detective,Bartholomew
Scotty Mattraw,Snow White and the Seven Dwarfs,Bashful
Barrie Ingham,The Great Mouse Detective,Basil of Baker Street
Joan Plowright,Dinosaur,Baylene
Dal McKennon,Bedknobs and Broomsticks,Bear
Haley Joel Osment,The Country Bears,Beary Barrington
Robby Benson,Beauty and the Beast,Beast
Stan Freberg,Lady and the Tramp,Beaver
Frank Welker,Mickey Mouse Clubhouse,Bella
Paige O'Hara,Beauty and the Beast,Belle
Billy Connolly,Pocahontas,Ben
Jim Cummings,Fantasia,Ben Ali Gator
Nate Torrence,Zootopia,Benjamin Clawhauser
Charles Fleischer,Who Framed Roger Rabbit,Benny the Cab
Unknown,The Legend of Coyote Rock,Bent-Tail the Coyote
Unknown,Sheep Dog,Bent-Tail Junior
Joan Gerber,DuckTales,Bentina Beakley
Vicki Lewis,An Extremely Goofy Movie,Beret Girl
Dean Clark,The Aristocats,Berlioz
Bob Newheart,The Rescuers,Bernard
James Gammon,The Country Bears,Big Al
Billy Bletcher,Three Little Pigs,Big Bad Wolf
Pearl Bailey,The Fox and the Hound,Big Mama
Frank Welker,DuckTales,Bigtime Beagle
Larry Grey,Alice in Wonderland,Bill the Lizard
Thurl Ravenscroft,The Aristocats,Billy Boss
Patrick McGoohan,Treasure Planet,Billy Bones
Kath Soucie,Beauty and the Beast,Bimbette
Susan Tolsky,Darkwing Duck,Binkie Muddlefoot
Thurl Ravenscroft,The Sword in the Stone,Black Bart
Nick Swardson,Bolt,Blake
Evelyn Venable,Pinocchio,Blue Fairy
Rob Paulsen,Disney Fairies,Bobble
John Travolta,Bolt,Bolt
Robert Ridgely,DuckTales,Bomber Beagle
Bonnie Hunt,Zootopia,Bonnie Hopps
Alvin Epstein,Beauty and the Beast,Bookseller
Paul Winchell,The Fox and the Hound,Boomer
Jim Cummings,Bonkers,Bonkers D. Bobcat
Brad Garrett,Timon and Pumbaa,Boss Beaver
Chuck McCann,DuckTales,Bouncer Beagle
Stephen J. Anderson,Meet the Robinsons,Bowler Hat Guy
Nick Stewart,Song of the South,Br'er Bear
James Baskett,Song of the South,Br'er Fox
Johnny Lee,Song of the South,Br'er Rabbit
Jeff Bennett,An Extremely Goofy Movie,Bradley Uppercrust III
Jimmy MacDonald,Cinderella,Bruno the Dog
Peter Siragusa,Dinosaur,Bruton
Candy Candido,The Rescuers,Brutus and Nero
Cuba Gooding Jr.,Home on the Range,Buck
Garry Marshall,Chicken Little,Buck Cluck
Byron Howard,Zootopia,Bucky Oryx-Antlerson
Bob Bergen,The Emperor's New Groove,Bucky the Squirrel
Michael Colyar,The Princess and the Frog,Buford the Cook
Brian Cummings,DuckTales,Bugle Beagle
Chuck McCann,DuckTales,Burger Beagle
Chazz Palminteri,Lady and the Tramp II: Scamp's Adventure,Buster
Frank Welker,Bone Trouble,Butch the Bulldog
J. Pat O'Malley,The Jungle Book,Buzzie the Vulture
Kath Soucie,101 Dalmatians: The Series,Cadpig
Lillias White,Hercules,Calliope
Katie Lowes,Wreck-It Ralph,Candlehead
Thurl Ravenscroft,One Hundred and One Dalmatians,The Captain
Emma Thompson,Treasure Planet,Captain Amelia
Hans Conried,Peter Pan,Captain Hook
Mel Gibson,Pocahontas,Captain John Smith
Kevin Kline,The Hunchback of Notre Dame,Captain Phoebus
Harland Williams,Meet the Robinsons,Carl the Robot
Edie McClurg,The Little Mermaid,Carlotta the Maid
J. Pat O'Malley,Alice in Wonderland,The Carpenter
Margaret Wright,Dumbo,Casey Junior
Patrick Swayze,The Fox and the Hound 2,Cash
John Rhys-Davies,Aladdin and the King of Thieves,Cassim
Richard Haydn,Alice in Wonderland,The Caterpillar
Noreen Gammill,Dumbo,Catty the Elephant
Michael McKean,Jungle Cubs,Cecil the Vulture
Jess Harnell,Sofia the First,Cedric the Sorcerer
Kellyann Kelso,The Emperor's New Groove,Chaca
April Winchell,Belle's Magical World,Chandeleria
Bernard Fox,The Rescuers,Chair Mouse
Frank Welker,Goof Troop,Chainsaw
Jennifer Cody,The Princess and the Frog,Charlotte La Bouff
Rob Paulsen,Timon and Pumbaa,Cheetata and Cheetato
Brian Cummings,Beauty and the Beast,Chef Bouche
Rene Auberjonois,The Little Mermaid,Chef Louis
Corey Burton,Fantasia,Chernabog
Sterling Holloway,Alice in Wonderland,Cheshire Cat
James Hong,Mulan,Chi-Fu
Wendie Malick,The Emperor's New Groove,Chicha
Zach Braff,Chicken Little,Chicken Little
Pat Buttram,The Fox and the Hound,Chief
Idris Elba,Zootopia,Chief Bogo
Russell Means,Pocahontas,Chief Powhatan
Jerry Tondo,Mulan,Chien-Po
James MacDonald,Private Pluto,Chip
Bradley Michael Pierce,Beauty and the Beast,Chip Potts
Bruce Reitherman,Winnie the Pooh and the Honey Tree,Christopher Robin
Ilene Woods,Cinderella,Cinderella
Jeff Bennett,Disney Fairies,Clank
Florence Gill,Orphan's Benefit,Clara Cluck
Marcellite Garner,Plane Crazy,Clarabelle Cow
Brian Blessed,Tarzan,Clayton
Vanéese Y. Thomas,Hercules,Clio
Paul Kandel,The Hunchback of Notre Dame,Clopin Trouillefou
Amanda Plummer,Hercules,Clotho
Wayne Brady,Sofia the First,Clover
Charles Judels,Pinocchio,The Coachman
Ving Rhames,Lilo & Stitch,Cobra Bubbles
Robert Holt,Bedknobs and Broomsticks,Codfish
Adam Ryen,The Rescuers Down Under,Cody
David Ogden Stiers,Beauty and the Beast,Cogsworth
Kath Soucie,Lady and the Tramp II: Scamp's Adventure,Colette
J. Pat O'Malley,101 Dalmatians,The Colonel
J. Pat O'Malley,The Jungle Book,Colonel Hathi
James Garner,Atlantis: The Lost Empire,Commander Lyle Rourke
Jim Varney,Atlantis: The Lost Empire,Cookie
Corey Feldman,The Fox and the Hound,Copper
