year,player,team,games,points,assists,blocks,rebounds
2010,Arron Afflalo,Denver Nuggets,82,724,138,30,252
2010,Alexis Ajinca,Charlotte Hornets,6,10,0,1,4
2010,LaMarcus Aldridge,Portland Trail Blazers,78,1393,160,48,627
2010,Joe Alexander,Chicago Bulls,8,4,2,1,5
2010,Malik Allen,Denver Nuggets,51,105,16,5,82
2010,Ray Allen,Boston Celtics,80,1304,210,25,253
2010,Tony Allen,Boston Celtics,54,330,72,19,145
2010,Rafer Alston,New Jersey Nets,27,262,104,5,75
2010,Rafer Alston,Miami Heat,25,165,72,5,54
2010,Lou Amundson,Phoenix Suns,79,371,31,73,346
2010,Chris Andersen,Denver Nuggets,76,448,33,143,483
2010,David Andersen,Houston Rockets,63,367,44,12,208
2010,Antonio Anderson,Oklahoma City Thunder,1,2,0,0,1
2010,Ryan Anderson,Orlando Magic,63,487,37,14,202
2010,Carmelo Anthony,Denver Nuggets,69,1943,222,30,454
2010,Joel Anthony,Miami Heat,80,218,12,109,249
2010,Gilbert Arenas,Washington Wizards,32,722,230,9,133
2010,Trevor Ariza,Houston Rockets,72,1072,276,40,403
2010,Hilton Armstrong,New Orleans Hurricanes,18,51,16,8,61
2010,Hilton Armstrong,Sacramento Kings,6,10,2,4,14
2010,Hilton Armstrong,Houston Rockets,9,10,3,0,6
2010,Carlos Arroyo,Miami Heat,72,439,225,6,130
2010,Darrell Arthur,Memphis Grizzlies,32,143,15,14,110
2010,Chucky Atkins,Detroit Pistons,40,161,91,0,29
2010,D.J. Augustin,Charlotte Hornets,80,508,193,5,97
2010,Jeff Ayres,Portland Trail Blazers,39,104,1,16,98
2010,Kelenna Azubuike,Golden State Warriors,9,125,10,9,41
2010,Renaldo Balkman,Denver Nuggets,13,14,7,2,23
2010,Marcus Banks,Toronto Raptors,22,109,26,2,23
2010,Leandro Barbosa,Phoenix Suns,44,418,64,12,69
2010,J.J. Barea,Dallas Mavericks,78,596,258,6,146
2010,Andrea Bargnani,Toronto Raptors,80,1376,93,111,493
2010,Matt Barnes,Orlando Magic,81,716,134,30,445
2010,Earl Barron,New York Knicks,7,82,8,4,77
2010,Brandon Bass,Orlando Magic,50,290,19,27,127
2010,Tony Battie,New Jersey Nets,15,36,3,2,23
2010,Shane Battier,Houston Rockets,67,534,164,76,312
