name,identity,alignment,appearanceCount,yearOfAppearance
Spider-Man (Peter Parker),Secret Identity,Good,4043,1962
"Wolverine (James ""Logan"" Howlett)",Public Identity,Neutral,3061,1974
"Iron Man (Anthony ""Tony"" Stark)",Public Identity,Good,2961,1963
Benjamin Grimm,Public Identity,Good,2255,1961
Reed Richards,Public Identity,Good,2072,1961
Hulk (Robert Bruce Banner),Public Identity,Good,2017,1962
Scott Summers,Public Identity,Neutral,1955,1963
Jonathan Storm,Public Identity,Good,1934,1961
Henry McCoy,Public Identity,Good,1825,1963
Susan Storm,Public Identity,Good,1713,1961
Ororo Munroe,Public Identity,Good,1512,1975
Clinton Barton,Public Identity,Good,1394,1964
Matthew Murdock,Public Identity,Good,1338,1964
Stephen Strange,Public Identity,Good,1307,1963
Mary Jane Watson,No Dual Identity,Good,1304,1965
John Jonah Jameson,No Dual Identity,Neutral,1266,1963
Robert Drake,Secret Identity,Good,1265,1963
Henry Pym,Public Identity,Good,1237,1962
Charles Xavier,Public Identity,Good,1233,1963
Warren Worthington III,Public Identity,Good,1230,1963
Piotr Rasputin,Secret Identity,Good,1162,1975
Wanda Maximoff,Public Identity,Good,1161,1964
Nicholas Fury,No Dual Identity,Neutral,1137,1963
Janet van Dyne,Public Identity,Good,1120,1963
Jean Grey,Public Identity,Good,1107,1963
Natalia Romanova,Public Identity,Good,1050,1964
Kurt Wagner,Secret Identity,Good,1047,1975
Vision,Secret Identity,Good,1007,1968
May Reilly,No Dual Identity,Good,1000,1962
Katherine Pryde,Secret Identity,Good,886,1980
Carol Danvers,Public Identity,Good,881,1968
Jennifer Walters,Public Identity,Good,881,1980
Emma Frost,Public Identity,Neutral,880,1980
Frank Castle,Public Identity,Neutral,878,1974
Luke Cage,No Dual Identity,Good,856,1972
Conan,No Dual Identity,Neutral,787,1970
Joseph Robertson,No Dual Identity,Good,752,1967
Pietro Maximoff,Public Identity,Good,740,1964
Hercules,No Dual Identity,Good,725,1965
Victor von Doom,Public Identity,Bad,721,1962
Max Eisenhardt,Public Identity,Neutral,709,1963
Elizabeth Braddock,Secret Identity,Neutral,708,1976
Norrin Radd,Public Identity,Good,696,1966
Norman Osborn,Public Identity,Bad,692,1964
Eugene Thompson,Secret Identity,Good,689,1962
Simon Williams,Public Identity,Good,686,1964
Samuel Guthrie,Secret Identity,Good,657,1982
Remy LeBeau,Secret Identity,Good,636,1990
Daniel Rand,Secret Identity,Good,618,1974
Nathan Summers,Public Identity,Neutral,612,1986
Elizabeth Brant,No Dual Identity,Good,599,1963
Richard Jones,Secret Identity,Good,590,1962
Edwin Jarvis,No Dual Identity,Good,567,1964
Alexander Summers,Public Identity,Good,558,1969
Franklin Nelson,No Dual Identity,Good,528,1964
Brian Braddock,Public Identity,Good,528,1976
Otto Octavius,Secret Identity,Neutral,526,1963
James Rhodes,Secret Identity,Good,525,1979
Timothy Dugan,Public Identity,Good,517,1963
Crystalia Amaquelin,Public Identity,Good,512,1965
Samuel Wilson,Public Identity,Good,512,1969
Wilson Fisk,Public Identity,Bad,503,1967
Odin Borson,Public Identity,Neutral,502,1962
Deadpool (Wade Wilson),Secret Identity,Neutral,500,1991
Dane Whitman,Secret Identity,Good,478,1967
Harold Osborn,No Dual Identity,Good,474,1965
Franklin Richards,No Dual Identity,Good,473,1968
Jessica Drew,Secret Identity,Good,471,1977
Roberto da Costa,Secret Identity,Good,464,1982
Rahne Sinclair,Secret Identity,Good,448,1982
Elizabeth Ross,Public Identity,Good,446,1962
Lorna Dane,Secret Identity,Good,433,1968
Johnathon Blaze,Secret Identity,Good,426,1972
Sif,No Dual Identity,Good,422,1964
Red Hulk (Thaddeus Ross),Public Identity,Neutral,415,1962
Jubilation Lee,Secret Identity,Good,408,1989
Volstagg,Public Identity,Good,406,1965
Balder Odinson,Secret Identity,Good,403,1962
Galactus,Secret Identity,Neutral,390,1966
Danielle Moonstar,Secret Identity,Good,388,1982
Marc Spector,Secret Identity,Good,387,1975
Gwendolyne Stacy,No Dual Identity,Good,384,1965
Medusalith Amaquelin,Public Identity,Good,382,1965
Sabretooth (Victor Creed),Secret Identity,Bad,382,1977
Illyana Rasputina,Secret Identity,Neutral,380,1975
Fandral,Secret Identity,Good,375,1965
Sean Cassidy,Secret Identity,Neutral,374,1967
Uatu,Public Identity,Good,373,1963
Richard Rider,Public Identity,Good,373,1976
Hogun,Public Identity,Good,371,1965
Raven Darkholme,Secret Identity,Bad,371,1978
Barbara Morse,Secret Identity,Good,368,1971
Blackagar Boltagon,No Dual Identity,Good,366,1965
Brunnhilde,Secret Identity,Good,361,1970
Alison Blaire,Public Identity,Good,353,1980
Venom (Symbiote),Known to Authorities Identity,Neutral,348,1984
John Walker,Secret Identity,Good,346,1986
Greer Grant,Public Identity,Good,342,1972
Karla Sofen,Public Identity,Neutral,340,1975
William Baker,Secret Identity,Neutral,338,1963
Sharon Carter,Public Identity,Good,332,1966
Felicia Hardy,Public Identity,Bad,332,1979
Cain Marko,Public Identity,Neutral,329,1965
Maria Hill,No Dual Identity,Good,325,2005
Ben Urich,No Dual Identity,Good,324,1978
Heather Douglas,Secret Identity,Good,323,1973
James Proudstar,Secret Identity,Good,320,1984
Angelica Jones,Known to Authorities Identity,Good,319,1985
Edward Brock,Public Identity,Neutral,318,1986
MacDonald Gargan,Secret Identity,Bad,317,1964
Mephisto,No Dual Identity,Bad,316,1968
Tabitha Smith,Secret Identity,Good,316,1985
Jean-Paul Beaubier,Secret Identity,Good,313,1979
Daniel Ketch,Secret Identity,Neutral,311,1990
Neena Thurman,Secret Identity,Good,310,1992
Wong,No Dual Identity,Good,306,1963
Thanos,No Dual Identity,Bad,306,1973
Shang-Chi,No Dual Identity,Good,296,1973
Alicia Masters,No Dual Identity,Good,293,1962
Robert Baldwin,Secret Identity,Good,293,1988
Vance Astrovik,Public Identity,Good,290,1975
Wendell Vaughn,Secret Identity,Good,290,1978
Abner Jenkins,Public Identity,Good,284,1964
Elektra Natchios,Secret Identity,Neutral,280,1981
Bullseye (Lester),Secret Identity,Bad,277,1976
Forge,Public Identity,Good,276,1984
Virginia Potts,No Dual Identity,Good,274,1963
Walter Langkowski,Secret Identity,Good,273,1979
Gorgon,Secret Identity,Good,272,1965
James Madrox,Public Identity,Good,271,1975
Heimdall,Secret Identity,Good,270,1962
Theresa Cassidy,Secret Identity,Good,267,1981
Laura Kinney,Secret Identity,Good,265,2004
Arthur Douglas,Secret Identity,Good,264,1973
Peter Parker (Ben Reilly),Secret Identity,Good,263,1975
Warlock (Technarch),Secret Identity,Good,261,1984
Kevin Plunder,Public Identity,Good,260,1965
Leonard Samson,Public Identity,Good,260,1971
Melissa Gold,Secret Identity,Good,260,1979
Lockheed,Secret Identity,Good,260,1983
Mercedes Knight,Public Identity,Good,259,1972
Moira Kinross,No Dual Identity,Good,259,1975
Karnak,Secret Identity,Good,257,1965
Namorita Prentiss,Public Identity,Good,257,1972
Lockjaw,Secret Identity,Good,255,1965
Adam Warlock,No Dual Identity,Good,252,1967
Heather McNeil,Public Identity,Neutral,252,1980
Curtis Connors,Public Identity,Neutral,250,1963
Theodore Sallis,Secret Identity,Good,249,1971
Adrian Toomes,Public Identity,Bad,248,1963
Amora,Public Identity,Bad,247,1964
Clea,No Dual Identity,Good,247,1964
Mar-Vell,Public Identity,Good,245,1967
Eugene Judd,Public Identity,Good,245,1983
Daimon Hellstrom,No Dual Identity,Neutral,242,1973
John Jonah Jameson III,No Dual Identity,Good,240,1963
Triton,No Dual Identity,Good,240,1965
Meggan Puceanu,Secret Identity,Good,240,1983
Robert Reynolds,Secret Identity,Neutral,240,2000
Aleksei Sytsevich,Secret Identity,Bad,239,1966
Santo Vaccarro,Secret Identity,Good,238,2003
Jonathan Clay,Secret Identity,Good,237,1960
Sersi,Secret Identity,Good,236,1976
Guido Carosella,Secret Identity,Neutral,236,1985
Zabu,Public Identity,Good,234,1965
Michael Morbius,Secret Identity,Neutral,231,1971
Julio Richter,Secret Identity,Good,231,1987
Phoenix Force,Secret Identity,Neutral,229,1976
Megan Gwynn,Public Identity,Good,229,2004
Kyle Richmond,Secret Identity,Good,227,1969
Karen Page,No Dual Identity,Good,226,1964
Tyrone Johnson,Secret Identity,Good,226,1982
Maxwell Dillon,Public Identity,Bad,225,1964
Valerie Cooper,Public Identity,Good,225,1983
Anna May,No Dual Identity,Good,224,1964
Tandy Bowen,Secret Identity,Good,222,1982
Monet St. Croix,No Dual Identity,Good,221,1994
Gamora,No Dual Identity,Neutral,218,1975
Amara Aquilla,Secret Identity,Good,217,1983
Julia Carpenter,Secret Identity,Good,212,1984
Jane Foster,No Dual Identity,Good,211,1962
Mortimer Toynbee,Secret Identity,Neutral,210,1964
Scott Lang,Public Identity,Good,209,1979
Paige Guthrie,Secret Identity,Good,207,1984
Benjamin Parker,No Dual Identity,Good,205,1962
Erik Josten,Secret Identity,Good,204,1965
Jeanne-Marie Beaubier,Secret Identity,Good,203,1979
Carl Creel,Public Identity,Bad,202,1964
Gloria Grant,No Dual Identity,,202,1975
Michael Twoyoungmen,Public Identity,Good,200,1979
Hope Summers,Secret Identity,Good,200,2008
Eric Masterson,Secret Identity,Good,198,1988
Alexander Power,Secret Identity,Good,197,1984
Matthew Hawk,Secret Identity,Good,195,1962
Jessica Jones,No Dual Identity,Good,195,1963
Frederick Dukes,Public Identity,Bad,194,1964
Eric Brooks,Public Identity,Good,194,1973
Eros,Public Identity,Good,193,1973
Madison Jeffries,No Dual Identity,Good,193,1983
Mandarin,Secret Identity,Bad,190,1964
The Wizard,Public Identity,Bad,189,1962
Akihiro,Secret Identity,Bad,189,2006
Sergei Kravinoff,Public Identity,Bad,188,1964
Jonothon Starsmore,Secret Identity,Good,187,1994
Helmut Zemo,Public Identity,Bad,184,1973
Victor Borkowski,Secret Identity,Good,184,2003
Edward Leeds,Secret Identity,Neutral,181,1964
Ultron,No Dual Identity,Bad,181,1968
Douglas Ramsey,Secret Identity,Good,181,1984
Quentin Beck,Secret Identity,Bad,180,1964
Herbert Wyndham,Secret Identity,Neutral,179,1966
Julian Keller,Public Identity,Good,179,2003
Jack Russell,Secret Identity,Good,178,1972
Celeste Cuckoo,Secret Identity,Good,177,2001
Valentina Allegra de Fontaine,Secret Identity,Neutral,176,1967
Ophelia Sarkissian,Secret Identity,Bad,175,1969
Colleen Wing,Public Identity,Good,175,1974
Irma Cuckoo,Secret Identity,Good,175,2001
Sebastian Shaw,No Dual Identity,Neutral,174,1980
Phoebe Cuckoo,Secret Identity,Good,174,2001
Sage,Secret Identity,Good,172,1980
Valeria Richards,No Dual Identity,Good,171,2002
Donald Blake,No Dual Identity,Good,170,1962
Hela,Secret Identity,Bad,170,1964
Lilandra Neramani,No Dual Identity,Good,170,1976
Henry Gyrich,No Dual Identity,Bad,170,1977
Dwayne Taylor,Secret Identity,Good,169,1989
Harold Hogan,No Dual Identity,Good,166,1963
Redwing,Public Identity,,165,1969
Christopher Powell,Secret Identity,Good,165,1991
Harvey Elder,Secret Identity,Bad,164,1961
Wolfgang von Strucker,Public Identity,Bad,164,1964
Dirk Garthwaite,Secret Identity,Bad,164,1968
Pip Gofern,Secret Identity,Good,163,1975
Tony Masters,Secret Identity,Neutral,163,1980
David Lieberman,Secret Identity,Neutral,163,1987
James Hudson,Secret Identity,Good,161,1978
Miles Warren,Secret Identity,Bad,160,1965
Kallark,Public Identity,Neutral,160,1977
En Sabah Nur,Public Identity,Bad,160,1986
Shiro Yoshida,Public Identity,Good,158,1970
Silver Sablinova,Secret Identity,Good,158,1985
Elvin Haliday,Secret Identity,Good,158,1990
Calvin Zabo,Secret Identity,Bad,157,1963
Frederick Myers,Secret Identity,Bad,157,1966
Mantis,Secret Identity,Good,156,1973
Marlene Alraune,No Dual Identity,Good,156,1976
Rachel Leighton,Secret Identity,Good,156,1985
Veranke,No Dual Identity,Bad,156,2005
Nathaniel Essex,Secret Identity,Bad,155,1987
Anthony Druid,Public Identity,Good,153,1961
Cassandra Lang,Public Identity,Good,153,1979
Beta Ray Bill,No Dual Identity,Good,153,1983
Samuel Sterns,Public Identity,Bad,152,1964
Leech,Secret Identity,Good,152,1984
Glenn Talbot,No Dual Identity,Neutral,151,1964
Bug,Public Identity,Good,151,1979
Peter Petruski,Secret Identity,Bad,150,1963
Julie Power,Secret Identity,Good,150,1984
Giuletta Nefaria,Secret Identity,Bad,149,1968
Robert Ralston,No Dual Identity,Good,148,1963
Maximus,Secret Identity,Neutral,147,1966
Genis-Vell,Public Identity,Good,147,1993
Hisako Ichiki,Secret Identity,Good,147,2004
Dmitri Smerdyakov,Secret Identity,Bad,146,1963
Eliot Franklin (Thunderball),Public Identity,Bad,146,1974
X-51,Known to Authorities Identity,Good,146,1977
Madelyne Pryor,Public Identity,Bad,146,1983
Herman Schultz,Public Identity,Bad,145,1967
Noriko Ashida,Secret Identity,Good,145,2004
Chen Lu,Secret Identity,Bad,144,1963
Ulysses Klaw,Public Identity,Bad,143,1966
Cessily Kincaid,Secret Identity,Good,143,2003
Kyle Gibney,Secret Identity,Neutral,142,1983
George Tarleton,Public Identity,Bad,140,1967
Jocasta,No Dual Identity,Good,140,1977
Peter Wisdom,No Dual Identity,Good,140,1995
Dragon Man,No Dual Identity,Good,139,1965
Narya,Secret Identity,Good,138,1979
Burglar,Public Identity,Bad,137,1962
Dino Manelli,Public Identity,Good,137,1963
Peter Parker (Kaine),Secret Identity,Good,137,1994
Nightmare,Secret Identity,Bad,136,1963
Ronan,No Dual Identity,Neutral,136,1967
Jasper Sitwell,Public Identity,Good,134,1966
Frank Payne,Secret Identity,Neutral,134,1977
Paladin,Secret Identity,Neutral,134,1978
Mad Thinker,Secret Identity,Bad,133,1963
Brian Calusky,Public Identity,Bad,133,1974
Arthur Maddicks,No Dual Identity,Good,133,1986
Isadore Cohen,Public Identity,Good,132,1963
Dormammu,No Dual Identity,Bad,132,1964
Marlo Chandler,Public Identity,Good,131,1988
Percival Pinkerton,Public Identity,Good,130,1964
Quintavius Quire,Public Identity,Good,130,2003
Marla Madison,No Dual Identity,,129,1976
Cletus Kasady,Public Identity,Bad,129,1991
Supreme Intelligence,No Dual Identity,Neutral,128,1967
Aragorn,No Dual Identity,Good,128,1968
Karnilla,Secret Identity,Neutral,127,1964
Jacqueline Falsworth,Public Identity,Good,127,1976
Caliban,Secret Identity,Good,127,1981
Isaac Christians,Public Identity,Good,127,1981
Brock Rumlow,Secret Identity,Bad,126,1989
Paul Norbert Ebersol,Secret Identity,Neutral,125,1966
Annihilus,No Dual Identity,Neutral,125,1968
Red Sonja,Public Identity,Good,125,1973
Jonathan Hart,Public Identity,Good,125,1976
Bambina Arbogast,No Dual Identity,Good,125,1979
Sooraya Qadir,Secret Identity,Good,125,2002
Randolph Robertson,No Dual Identity,Good,124,1968
Yao,Secret Identity,Good,122,1961
Agatha Harkness,No Dual Identity,Good,122,1970
Jack Tarr,Secret Identity,,122,1974
Katherine Bishop,Public Identity,Good,122,2005
Jason Wyngarde,Secret Identity,Bad,121,1964
Walter Newell,Public Identity,Good,121,1967
Joanna Cargill,Secret Identity,Good,121,1986
Parker Robbins,Secret Identity,Bad,121,2002
Rocket Raccoon,No Dual Identity,Good,120,1976
Lyja,Secret Identity,Neutral,120,1984
Georges Batroc,No Dual Identity,Bad,119,1966
Wyatt Wingfoot,Public Identity,Good,119,1966
Henry Camp,Public Identity,Bad,119,1974
Peter Quill,Secret Identity,Good,119,1976
Marrow (Sarah),Secret Identity,Neutral,119,1994
Vision (Jonas),Public Identity,Good,119,2005
William Kaplan,Secret Identity,Good,119,2005
George Stacy,Public Identity,Good,118,1968
Mari,Public Identity,Good,118,1979
Todd Arliss,Secret Identity,Bad,116,1968
Hammerhead (Joseph),Secret Identity,Bad,116,1972
Heinrich Zemo,Public Identity,Bad,115,1964
Emil Blonsky,Secret Identity,Bad,115,1967
Arcturus Rann,Public Identity,Good,115,1979
James Woo,Public Identity,Good,114,1956
Frank Drake,No Dual Identity,Good,114,1972
Callisto,Secret Identity,Neutral,114,1983
Lonnie Lincoln,Public Identity,Bad,113,1988
Doop,No Dual Identity,Good,113,2001
David Alleyne,Secret Identity,Good,113,2003
Hepzibah,Secret Identity,Good,112,1977
Charlie Cluster-7,Secret Identity,Neutral,112,2002
Samuel Sawyer,Public Identity,Good,111,1963
Jacques Duquesne,Known to Authorities Identity,Good,111,1965
Arcade,Secret Identity,Bad,111,1978
Mary Walker,Secret Identity,Bad,111,1988
Miguel Santos,Secret Identity,Good,111,1990
Christopher Summers,Public Identity,Good,110,1977
Morris Bench,Public Identity,Bad,110,1981
David Cannon,Public Identity,Bad,109,1963
Prosh,Secret Identity,Good,109,1988
Roderick Kingsley,Public Identity,Bad,108,1980
Dominikos Petrakis,Secret Identity,Neutral,108,1981
St. John Allerdyce,Secret Identity,Neutral,108,1981
Mary MacPherran,Secret Identity,Bad,108,1984
Rita Wayword,Secret Identity,Neutral,108,1985
Angelo Espinosa,Secret Identity,Good,108,1994
Layla Miller,No Dual Identity,Good,108,2005
Leland Owlsley,Public Identity,Bad,107,1964
Karl Lykos,Secret Identity,Bad,107,1969
Jason Macendale Jr.,Secret Identity,Bad,107,1981
Frigga,Secret Identity,Good,106,1963
Ikaris (Eternal),Secret Identity,Good,106,1976
Jack Power,Secret Identity,Good,106,1984
Katherine Power,Secret Identity,Good,106,1984
Sharon Ventura,Secret Identity,Good,105,1985
Nico Minoru,Secret Identity,Good,105,2003
Clive Reston,Public Identity,,104,1975
Idie Okonkwo,Public Identity,Good,104,2010
Elizabeth Twoyoungmen,Secret Identity,Good,103,1983
Everett Thomas,Secret Identity,Good,103,1994
Danger,No Dual Identity,Good,103,2005
Dorrek VIII,Public Identity,Good,103,2005
Amadeus Cho,No Dual Identity,Good,103,2006
Phillip Masters,Public Identity,Bad,102,1962
Joshua Foley,Secret Identity,Good,101,2003
Karl Mordo,Secret Identity,Bad,100,1963
Eternity,Secret Identity,Neutral,100,1965
William Foster,Secret Identity,,100,1966
Leiko Wu,Secret Identity,Good,100,1975
Chase Stein,No Dual Identity,Good,100,2003
Grand Vizier (Asgard),Secret Identity,Good,99,1965
Pyreus Kril,Secret Identity,Neutral,99,1974
Acroyear,No Dual Identity,Good,99,1979
Yuriko Oyama,Secret Identity,Bad,99,1983
Elijah Bradley,Secret Identity,Good,99,2005
Frankie Raye,Secret Identity,Good,98,1975
Jimaine Szardos,Secret Identity,Good,98,1976
Bethany Cabe,No Dual Identity,Good,98,1978
Phillip Urich,Secret Identity,Bad,98,1995
Delroy Garrett Jr.,Secret Identity,Good,98,1998
Anya Corazon,Public Identity,Good,98,2004
Victoria Hand,No Dual Identity,Neutral,98,2009
Margaret Carter,Public Identity,Good,97,1966
Clay Quartermain,No Dual Identity,,97,1967
Ghost,Secret Identity,Neutral,97,1987
Jill Stacy,Public Identity,Neutral,97,1997
Abigail Brand,Secret Identity,Good,97,2004
Carlie Cooper,No Dual Identity,Good,97,2008
Paul Duval,Secret Identity,Bad,96,1964
Blastaar,Secret Identity,Bad,96,1967
Jericho Drumm,Public Identity,Good,96,1973
Ruth Aldine,Secret Identity,Good,96,2005
Luna Maximoff,No Dual Identity,Good,95,1982
Silhouette Chord,Secret Identity,Good,95,1990
Attuma,No Dual Identity,Bad,94,1964
Sally Blevins,Secret Identity,Good,94,1986
James Sanders,Secret Identity,Neutral,93,1969
Denis Nayland Smith,Secret Identity,Good,93,1973
Andreas von Strucker,Secret Identity,Neutral,93,1985
Patricia Tilby,Public Identity,Good,93,1986
Michael Collins,Secret Identity,Good,93,1990
Groot,No Dual Identity,Good,92,1960
Vashti Cleito-Son,Secret Identity,Good,92,1965
Eric Williams,Public Identity,Bad,92,1968
Gaea,Secret Identity,Good,92,1975
Raza Longknife,Secret Identity,Neutral,92,1977
Rom,Public Identity,Good,92,1979
Selene Gallio,Secret Identity,Bad,92,1983
Norman Harold Osborn,No Dual Identity,Bad,92,1985
Michiko Musashi,Secret Identity,Good,92,1992
Skaar,No Dual Identity,Good,92,2008
Ulik,Public Identity,Bad,91,1967
Roxanne Simpson,Secret Identity,Good,91,1972
Sinthea Shmidt,Public Identity,Bad,91,1984
George Washington Bridge,Secret Identity,Good,91,1991
Molly Hayes,Secret Identity,Good,90,2003
Klaus Voorhees,Public Identity,Bad,89,1963
Vanisher,Secret Identity,Neutral,89,1963
Skurge,Secret Identity,Bad,88,1964
Arthur Parks,,Bad,88,1966
Bernadette Rosenthal,No Dual Identity,,88,1980
Nathan Lubensky,Public Identity,Good,87,1980
David Haller,Secret Identity,Good,87,1985
Lemar Hoskins,Secret Identity,Good,87,1986
Donald Pierce,Secret Identity,Bad,86,1980
Joseph Chapman,Secret Identity,Good,86,1981
Karolina Dean,Secret Identity,Good,86,2003
Bastion,Secret Identity,Bad,85,1996
Kull,Public Identity,Good,84,1970
Satana Hellstrom,No Dual Identity,Bad,84,1973
Laynia Petrovna,Secret Identity,Good,84,1976
Night Raven (Vigilante),Secret Identity,Good,84,1979
Kavita Rao,No Dual Identity,Good,84,2004
Danielle Cage,No Dual Identity,Good,84,2006
Frederick Foswell,Secret Identity,Neutral,83,1964
John Greycrow,Secret Identity,Neutral,83,1986
Eric Koenig,No Dual Identity,Good,82,1966
Zheng Zu,Secret Identity,Bad,82,1973
Keniuchio Harada,Public Identity,Neutral,82,1974
Irene Adler,Secret Identity,Neutral,82,1981
Marrina Smallwood,Secret Identity,Good,82,1983
Zelda DuBois,Public Identity,Bad,81,1965
Beyonder,Secret Identity,Neutral,81,1984
Roxanne Washington,Secret Identity,,81,2005
Bonita Juarez,Secret Identity,Good,80,1981
Surtur,No Dual Identity,Bad,79,1963
Stranger (Cosmic Being),Secret Identity,Neutral,79,1965
Brandy Clark,Public Identity,Good,79,1979
Lillian Crawley,Secret Identity,Good,79,1983
Russell Collins,Public Identity,Good,78,1986
Michael Badilino,Secret Identity,Bad,78,1992
Helen Takahama,Secret Identity,Good,78,1997
En Sabah Nur (Evan Sabahnur),Secret Identity,Good,78,2011
Dai Thomas,Public Identity,,77,1975
Maria Callasantos,Secret Identity,Bad,77,1991
Sally Avril,Secret Identity,Good,76,1962
Ebenezer Laughton,Secret Identity,Bad,76,1964
Pluto (Olympian),Secret Identity,Bad,76,1966
Arnim Zola,No Dual Identity,Bad,76,1977
Mariko Yashida,No Dual Identity,Good,76,1979
Dallas Riordan,Secret Identity,Good,76,1997
Hannibal King,No Dual Identity,Good,75,1974
Thomas Cassidy,Public Identity,Bad,75,1976
Kara Killgrave,Secret Identity,Good,75,1986
Jess\u00e1n Hoan,Secret Identity,Good,75,1988
Daisy Johnson,Secret Identity,Good,75,2004
John Horton,Public Identity,Bad,74,1972
Cecilia Reyes,No Dual Identity,Good,74,1997
Barnell Bohusk,Secret Identity,Good,74,2001
Victor Mancha,No Dual Identity,Good,74,2005
Awesome Android,No Dual Identity,Neutral,73,1963
