name,yearOfBirth,birthCity,birthState,college
Donta Smith,1920,Minnesota,,University of Minnesota
J.R. Smith,1920,,,
Armon Johnson,1920,Gonvick,Minnesota,Bemidji State University
Dajuan Wagner,1922,,,University of Texas at Austin
Walt Williams,1923,,,Indiana University
Damone Brown,1923,Eureka,California,Humboldt State University
Bobby Brown,1923,Versailles,Ohio,Miami University
Jonathon Simmons,1924,Birmingham,Alabama,New York University
Marcus Morris,1925,,,Northwestern University
Markieff Morris,1925,,,Northwestern University
Gerard King,1928,Charleston,West Virginia,University of Charleston
Anthony Johnson,1932,Los Angeles,California,University of Portland
Rod Strickland,1940,Jacksonville,Florida,Jacksonville University
Luke Jackson,1941,San Marcos,Texas,University of Texas-Pan American
Jeff Green,1941,,,University of Maryland
Mahmoud Abdul-Rauf,1942,Wilmington,Delaware,"University of California, Los Angeles"
David Lee,1942,Modesto,California,University of San Francisco
Willie Reed,1942,Hico,Louisiana,Grambling State University
Alando Tucker,1943,Dayton,Ohio,Oklahoma Baptist University
David Andersen,1943,Minneapolis,Minnesota,Augsburg College
Joe Smith,1944,Columbus,Mississippi,University of Southern Colorado
Josh Smith,1944,Columbus,Mississippi,University of Southern Colorado
Stanley Johnson,1944,Clairton,Pennsylvania,Murray State University
Lorenzen Wright,1945,Newark,New Jersey,Colorado State University
Antonio Anderson,1945,Buffalo,New York,Canisius College
Jeff Ayres,1945,,,
Harrison Barnes,1945,,,Northeastern University
Mitchell Butler,1946,Memphis,Tennessee,University of Memphis
Jason Thompson,1946,New York,New York,University of South Carolina
Greg Smith,1947,Princeton,Kentucky,Western Kentucky University
Joe Johnson,1947,Carthage,Mississippi,University of Iowa
Diante Garrett,1947,,,Southern Illinois University
John Thomas,1948,Canton,Georgia,Marquette University
Alvin Williams,1948,,,Drake University
Jordan Hamilton,1948,Lexington,Kentucky,University of North Texas
Alan Williams,1948,,,Drake University
Wally Szczerbiak,1949,Pittsburgh,Pennsylvania,George Washington University
James Jones,1949,,,Assumption College
Chris Johnson,1949,Corpus Christi,Texas,University of California
Chris Dudley,1950,Harrisburg,Pennsylvania,University of Washington
Bobby Jones,1951,Charlotte,North Carolina,University of North Carolina
Jordan Williams,1951,New Haven,Connecticut,New Mexico State University
Matt Barnes,1952,Providence,Rhode Island,Providence College
Dwayne Jones,1952,Houston,Texas,University of Houston
Martell Webster,1952,Baltimore,Maryland,Morgan State University
John Lucas,1953,Durham,North Carolina,University of Maryland
Mark Jones,1953,McGhee,Arkansas,Albany State University
Mike Dunleavy,1954,Brooklyn,New York,University of South Carolina
Larry Johnson,1954,Morganfield,Kentucky,University of Kentucky
DeMarco Johnson,1954,San Pedro,California,Pepperdine University
DerMarr Johnson,1954,San Pedro,California,Pepperdine University
Keith Benson,1954,New Castle,Indiana,Indiana University
James Robinson,1955,Los Angeles,California,"University of Nevada, Las Vegas"
Antoine Walker,1955,Long Island City,New York,Niagara University
Jamal Robinson,1955,Los Angeles,California,"University of Nevada, Las Vegas"
Josh Davis,1955,Detroit,Michigan,University of Dayton
Anthony Roberson,1955,Chattanooga,Tennessee,Oral Roberts University
Ronnie Brewer,1955,Fort Smith,Arkansas,University of Arkansas
Mychel Thompson,1955,Nassau,Bahamas,University of Minnesota
Andre Roberson,1955,Chattanooga,Tennessee,Oral Roberts University
Gerald Henderson,1956,Richmond,Virginia,Virginia Commonwealth University
Eddie Jones,1956,Fort Rucker,Alabama,"University of Nevada, Reno"
Frank Williams,1956,Los Angeles,California,Portland State University
Charles Jones,1957,McGehee,Arkansas,Albany State University
Danny Green,1957,Lynwood,California,"University of California, Los Angeles"
Larry Drew,1958,Kansas City,Kansas,University of Missouri
Todd Fuller,1958,Detroit,Michigan,Pepperdine University
Daequan Cook,1958,Los Angeles,California,University of Portland
Larry Nance,1959,Anderson,South Carolina,Clemson University
Rodney White,1959,Tuskegee,Alabama,University of South Alabama
Wesley Matthews,1959,Sarasota,Florida,University of Wisconsin
Royce White,1959,Tuskegee,Alabama,University of South Alabama
Walker Russell,1960,Pontiac,Michigan,Western Michigan University
Dale Ellis,1960,Marietta,Georgia,University of Tennessee
Mark West,1960,Petersburg,Virginia,Old Dominion University
A.C. Green,1960,,,
Clifford Robinson,1960,Oakland,California,University of Southern California
Damien Wilkins,1960,Pocatello,Idaho,Idaho State University
Mario West,1960,Petersburg,Virginia,Old Dominion University
Jermaine Taylor,1960,Blytheville,Arkansas,Texas Tech University
Jeffery Taylor,1960,Blytheville,Arkansas,Texas Tech University
Terry Cummings,1961,Chicago,Illinois,DePaul University
Antoine Carr,1961,Oklahoma City,Oklahoma,Wichita State University
Sam Perkins,1961,Brooklyn,New York,University of North Carolina
Kevin Willis,1961,New York,New York,St. John's University
Dennis Rodman,1961,Trenton,New Jersey,Southeastern Oklahoma State University
Isaiah Thomas,1961,Chicago,Illinois,Indiana University
Michael Cage,1962,West Memphis,Arkansas,San Diego State University
Jerome Kersey,1962,Clarksville,Virginia,Longwood University
John Stockton,1962,Spokane,Washington,Gonzaga University
Otis Thorpe,1962,Boynton Beach,Florida,Providence College
Tyrone Corbin,1962,Columbia,South Carolina,DePaul University
Patrick Ewing,1962,Kingston,Jamaica,Georgetown University
Ken Johnson,1962,Tuskegee,Alabama,Michigan State University
Joe Kleine,1962,Colorado Springs,Colorado,University of Arkansas
Kevin Johnson,1962,Tuskegee,Alabama,Michigan State University
Randell Jackson,1962,Los Angeles,California,"University of California, Los Angeles"
Rick Hughes,1962,Chicago,Illinois,Loyola University of Chicago
Bracey Wright,1962,Hollywood,California,"University of California, Los Angeles"
Brandan Wright,1962,Hollywood,California,"University of California, Los Angeles"
Patrick Ewing,1962,Kingston,Jamaica,Georgetown University
Charles Barkley,1963,Leeds,Alabama,Auburn University
Michael Jordan,1963,Brooklyn,New York,University of North Carolina
Hakeem Olajuwon,1963,Lagos,Nigeria,University of Houston
Karl Malone,1963,Summerfield,Louisiana,Louisiana Tech University
Chris Mullin,1963,New York,New York,St. John's University
Charles Oakley,1963,Cleveland,Ohio,Virginia Union University
Terry Porter,1963,Milwaukee,Wisconsin,University of Wisconsin-Stevens Point
Detlef Schrempf,1963,Leverkusen,Germany,University of Washington
Bill Wennington,1963,Montreal,Canada,St. John's University
Jeff Hornacek,1963,Elmhurst,Illinois,Iowa State University
Johnny Newman,1963,Danville,Virginia,University of Richmond
David Wingate,1963,Baltimore,Maryland,Georgetown University
Mark Davis,1963,Chesapeake,Virginia,Old Dominion University
Vinny Del,1963,,,
Sam Mitchell,1963,Columbus,Georgia,Mercer University
Mario Elie,1963,New York,New York,American International College
Rashard Lewis,1963,Philadelphia,Pennsylvania,La Salle University
Benoit Benjamin,1964,Monroe,Louisiana,Creighton University
Dell Curry,1964,Harrisonburg,Virginia,Virginia Polytechnic Institute and State University
Ron Harper,1964,Dayton,Ohio,Miami University
Chuck Person,1964,Brantley,Alabama,Auburn University
John Salley,1964,Brooklyn,New York,Georgia Institute of Technology
Armen Gilliam,1964,Pittsburgh,Pennsylvania,"University of Nevada, Las Vegas"
