year,player,team,games,points,assists,blocks,rebounds
2000,Tariq Abdul-Wahad,Orlando Magic,46,563,72,16,239
2000,Tariq Abdul-Wahad,Denver Nuggets,15,134,26,12,52
2000,Shareef Abdur-Rahim,Vancouver Grizzlies,82,1663,271,87,825
2000,Cory Alexander,Denver Nuggets,29,82,58,2,42
2000,Ray Allen,Milwaukee Bucks,82,1809,308,19,359
2000,Rafer Alston,Milwaukee Bucks,27,60,70,0,23
2000,John Amaechi,Orlando Magic,80,836,95,37,266
2000,Derek Anderson,Los Angeles Clippers,64,1080,220,11,258
2000,Kenny Anderson,Boston Celtics,82,1149,420,8,225
2000,Nick Anderson,Sacramento Kings,72,781,123,16,339
2000,Shandon Anderson,Houston Rockets,82,1009,239,32,384
2000,Chris Anstey,Chicago Bulls,73,439,65,25,280
2000,Greg Anthony,Portland Trail Blazers,82,514,208,9,133
2000,B.J. Armstrong,Chicago Bulls,27,201,78,1,47
2000,Darrell Armstrong,Orlando Magic,82,1330,501,9,270
2000,Chucky Atkins,Orlando Magic,82,782,306,3,126
2000,Stacey Augmon,Portland Trail Blazers,59,203,53,11,116
2000,Isaac Austin,Washington Wizards,59,397,74,38,282
2000,Anthony Avent,Los Angeles Clippers,49,81,11,15,74
2000,William Avery,Minnesota Timberwolves,59,154,88,2,40
2000,Toby Bailey,Phoenix Suns,46,163,30,4,72
2000,Vin Baker,Seattle Supersonics,79,1311,148,66,605
2000,Charles Barkley,Houston Rockets,20,289,63,4,209
2000,Dana Barros,Boston Celtics,72,517,133,4,99
2000,Brent Barry,Seattle Supersonics,80,945,291,31,372
2000,Drew Barry,Golden State Warriors,8,22,17,0,8
2000,Drew Barry,Atlanta Hawks,8,19,16,0,4
2000,Jon Barry,Sacramento Kings,62,495,150,7,159
2000,Tony Battie,Boston Celtics,82,541,63,70,410
2000,Jonathan Bender,Indiana Pacers,24,64,3,5,21
2000,Benoit Benjamin,Cleveland Cavaliers,3,2,0,1,1
2000,Corey Benjamin,Chicago Bulls,48,370,54,22,88
2000,Mario Bennett,Los Angeles Clippers,1,0,0,0,2
2000,Travis Best,Indiana Pacers,82,733,272,5,142
2000,Mike Bibby,Vancouver Grizzlies,82,1190,665,15,306
2000,Chauncey Billups,Denver Nuggets,13,112,39,2,34
2000,Mookie Blaylock,Golden State Warriors,73,822,489,22,270
2000,Corie Blount,Phoenix Suns,38,107,10,7,113
2000,Muggsy Bogues,Toronto Raptors,80,410,299,4,135
2000,Etdrick Bohannon,New York Knicks,2,3,0,0,1
2000,Etdrick Bohannon,Los Angeles Clippers,11,26,5,6,30
2000,Calvin Booth,Washington Wizards,11,42,7,14,32
2000,Lazaro Borrell,Seattle Supersonics,17,62,10,3,40
2000,Cal Bowdler,Atlanta Hawks,46,122,14,9,85
2000,Bruce Bowen,Philadelphia 76ers,42,59,16,5,36
2000,Bruce Bowen,Miami Heat,27,137,18,10,60
2000,Ryan Bowen,Denver Nuggets,52,131,20,13,114
2000,Ira Bowman,Philadelphia 76ers,11,5,1,0,2
2000,Earl Boykins,Orlando Magic,1,6,3,0,1
2000,Earl Boykins,Cleveland Cavaliers,25,132,45,1,25
2000,Shawn Bradley,Dallas Mavericks,77,647,60,190,497
